username,book_title,liked,clicked,saved,shared,timestamp,feedback_score
Meenakshi,Trust: Pandora's Box (TRUST Trilogy #3; TRUST Universe #6-8),False,False,False,False,2025-01-02 11:40:37.806704,0.0
Meenakshi,The Standard Grand,True,False,False,False,2025-01-02 11:52:19.026810,40.0
Meenakshi,Honor's Splendour,True,False,True,False,2025-01-02 11:53:06.171071,70.0
sanj,"Death's Master (Flat Earth, #2)",True,False,False,False,2025-01-02 13:43:37.575895,40.0
Swiggy,"The Dark Web Murders (Inspector Sheehan Mysteries, #4)",True,False,True,True,2025-01-02 15:37:09.970050,90.0
sanj,"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1)",True,False,True,False,2025-01-02 17:16:24.034114,70.0
sanj,Bay Of Devils,False,False,True,False,2025-01-02 20:19:11.208933,30.0
sanj,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit And The Lord Of The Rings,True,False,True,False,2025-01-02 22:21:35.074453,70.0
Abby,To Kill A Mockingbird,True,False,False,False,2025-01-02 23:05:19.227912,40.0
TestUser,To Kill A Mockingbird,True,False,False,False,2025-01-03 06:45:15.277131,40.0
Meenakshi,"Ransom (The Light-Bearer, #5)",True,False,True,False,2025-01-03 02:07:50.150928,70.0
Meenakshi,"May Day (American Sulla, #1)",True,False,False,False,2025-01-03 12:01:20.448291,40.0
Meenakshi,"Ilium (Ilium, #1)",True,False,False,False,2025-01-14 13:26:51.872940,40.0
